Country	ISO3	link
Philippines	PHL	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Philippines%22
Poland	POL	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Poland%22
Portugal	PRT	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Portugal%22
Qatar	QAT	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Qatar%22
Romania	ROU	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Romania%22
Russia	RUS	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Russian%20Federation%22
Saint Kitts and Nevis	KNA	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Saint%20Kitts%20and%20Nevis%22
Samoa	WSM	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Samoa%22
San Marino	SMR	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22San%20Marino%22
Saudi Arabia	SAU	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Saudi%20Arabia%22
Senegal	SEN	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Senegal%22
Seychelles	SYC	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Seychelles%22
Singapore	SGP	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Singapore%22
Slovak Republic	SVK	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Slovak%20Republic%22
Slovenia	SVN	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Slovenia%22
South Africa	ZAF	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22South%20Africa%22
Democratic People's Republic of Korea 	KOR	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Korea%22
Spain	ESP	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Spain%22
Sweden	SWE	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Sweden%22
Switzerland	CHE	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Switzerland%22
Thailand	THA	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Thailand%22
Tunisia	TUN	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Tunisia%22
Turkey	TUR	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Turkey%22
Uganda	UGA	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Uganda%22
Ukraine	UKR	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Ukraine%22
United Kingdom	GBR	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22United%20Kingdom%22
United States	USA	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22United%20States%22
Vanuatu	VUT	https://www.oecd.org/corruption-integrity/search/?rs:q=country-en%3A%22Vanuatu%22
